name,party,stateAbbr,district,stateDistrict,phone,area,searchTerms,targeted
Nicholas Begich III,R,AK,00,AK00,(202) 225-5765,,,
Barry Moore,R,AL,01,AL01,(202) 225-2901,,,
Shomari Figures,D,AL,02,AL02,(202) 225-4931,,,
Mike Rogers,R,AL,03,AL03,(202) 225-3261,,,
Robert Aderholt,R,AL,04,AL04,(202) 225-4876,,,
Dale Strong,R,AL,05,AL05,(202) 225-4801,,,
Gary Palmer,R,AL,06,AL06,(202) 225-4921,,,
Terri Sewell,D,AL,07,AL07,(202) 225-2665,,,
Eric Crawford,R,AR,01,AR01,(202) 225-4076,,,
J. Hill,R,AR,02,AR02,(202) 225-2506,,,
Steve Womack,R,AR,03,AR03,(202) 225-4301,,,
Bruce Westerman,R,AR,04,AR04,(202) 225-3772,,,
Aumua Amata Radewagen,R,AS,Delegate,ASDelegate,(202) 225-8577,,,
David Schweikert,R,AZ,01,AZ01,(202) 225-2190,Scottsdale,Scottsdale|Paradise Valley|Fountain Hills|North Phoenix|Cave Creek|Carefree|Rio Verde|Gainey Ranch|McCormick Ranch|Arcadia,Y
Elijah Crane,R,AZ,02,AZ02,(202) 225-3361,,,
Yassamin Ansari,D,AZ,03,AZ03,(202) 225-4065,,,
Greg Stanton,D,AZ,04,AZ04,(202) 225-9888,,,
Andy Biggs,R,AZ,05,AZ05,(202) 225-2635,,,
Juan Ciscomani,R,AZ,06,AZ06,(202) 225-2542,Tucson,Tucson|Cochise County|Sierra Vista|Oro Valley|Marana|Vail|Sahuarita|Green Valley|Douglas|Benson|Willcox|Tanque Verde,Y
Adelita Grijalva,D,AZ,07,AZ07,(202) 225-2435,,,
Abraham Hamadeh,R,AZ,08,AZ08,(202) 225-4576,,,
Paul Gosar,R,AZ,09,AZ09,(202) 225-2315,,,
 ,,CA,01,CA01,(202) 225-3076,,,
Jared Huffman,D,CA,02,CA02,(202) 225-5161,,,
Kevin Kiley,I,CA,03,CA03,(202) 225-2523,,,
Mike Thompson,D,CA,04,CA04,(202) 225-3311,,,
Tom McClintock,R,CA,05,CA05,(202) 225-2511,,,
Ami Bera,D,CA,06,CA06,(202) 225-5716,,,
Doris Matsui,D,CA,07,CA07,(202) 225-7163,,,
John Garamendi,D,CA,08,CA08,(202) 225-1880,Sacramento area,Sacramento|Yolo|Davis|Woodland|Vacaville|West Sacramento|Fairfield|Dixon|Winters|Elk Grove|Natomas|Rancho Cordova,Y
Josh Harder,D,CA,09,CA09,(202) 225-4540,Stockton/Tracy,Stockton|Tracy|Manteca|Lodi|San Joaquin|Ripon|Escalon|Lathrop|Mountain House|French Camp,Y
Mark DeSaulnier,D,CA,10,CA10,(202) 225-2095,,,
Nancy Pelosi,D,CA,11,CA11,(202) 225-4965,,,
Lateefah Simon,D,CA,12,CA12,(202) 225-2661,,,
Adam Gray,D,CA,13,CA13,(202) 225-1947,Modesto,Modesto|Turlock|Merced|Stanislaus|Atwater|Livingston|Los Banos|Gustine|Patterson|Newman|Oakdale|Riverbank|Ceres|Hughson,Y
Eric Swalwell,D,CA,14,CA14,(202) 225-5065,,,
Kevin Mullin,D,CA,15,CA15,(202) 225-3531,,,
Sam Liccardo,D,CA,16,CA16,(202) 225-8104,,,
Ro Khanna,D,CA,17,CA17,(202) 225-2631,,,
Zoe Lofgren,D,CA,18,CA18,(202) 225-3072,,,
Jimmy Panetta,D,CA,19,CA19,(202) 225-2861,Monterey/Salinas,Monterey|Salinas|Santa Cruz|Watsonville|Carmel|Pacific Grove|Seaside|Marina|Hollister|Gilroy|Capitola|Aptos|Soquel|Castroville,Y
Vince Fong,R,CA,20,CA20,(202) 225-2915,,,
Jim Costa,D,CA,21,CA21,(202) 225-3341,Fresno,Fresno|Clovis|Madera|Sanger|Selma|Reedley|Kerman|Fowler|Kingsburg|Parlier|Coalinga|Chowchilla,Y
David Valadao,R,CA,22,CA22,(202) 225-4695,Bakersfield,Bakersfield|Hanford|Delano|Kern County|Tulare|Visalia|Porterville|Wasco|Shafter|McFarland|Arvin|Lemoore|Corcoran,Y
Jay Obernolte,R,CA,23,CA23,(202) 225-5861,,,
Salud Carbajal,D,CA,24,CA24,(202) 225-3601,,,
Raul Ruiz,D,CA,25,CA25,(202) 225-5330,Palm Springs/Coachella Valley,Palm Springs|Coachella|Indio|Palm Desert|Cathedral City|Riverside County|Rancho Mirage|La Quinta|Desert Hot Springs|Bermuda Dunes|Thousand Palms|Blythe|Beaumont|Banning|Hemet,Y
Julia Brownley,D,CA,26,CA26,(202) 225-5811,,,
George Whitesides,D,CA,27,CA27,(202) 225-1956,,,
Judy Chu,D,CA,28,CA28,(202) 225-5464,,,
Luz Rivas,D,CA,29,CA29,(202) 225-6131,,,
Laura Friedman,D,CA,30,CA30,(202) 225-4176,,,
Gilbert Cisneros Jr.,D,CA,31,CA31,(202) 225-5256,,,
Brad Sherman,D,CA,32,CA32,(202) 225-5911,,,
Pete Aguilar,D,CA,33,CA33,(202) 225-3201,,,
Jimmy Gomez,D,CA,34,CA34,(202) 225-6235,,,
Norma Torres,D,CA,35,CA35,(202) 225-6161,,,
Ted Lieu,D,CA,36,CA36,(202) 225-3976,,,
Sydney Kamlager-Dove,D,CA,37,CA37,(202) 225-7084,,,
Linda Sánchez,D,CA,38,CA38,(202) 225-6676,,,
Mark Takano,D,CA,39,CA39,(202) 225-2305,,,
Young Kim,R,CA,40,CA40,(202) 225-4111,Orange County,Orange County|Fullerton|Brea|Diamond Bar|Rowland Heights|Yorba Linda|Placentia|La Habra|Walnut|Chino Hills|Hacienda Heights|Buena Park|West Covina|Industry,Y
Ken Calvert,R,CA,41,CA41,(202) 225-1986,,,
Robert Garcia,D,CA,42,CA42,(202) 225-7924,,,
Maxine Waters,D,CA,43,CA43,(202) 225-2201,,,
Nanette Barragán,D,CA,44,CA44,(202) 225-8220,,,
Derek Tran,D,CA,45,CA45,(202) 225-2415,,,
J. Correa,D,CA,46,CA46,(202) 225-2965,,,
Dave Min,D,CA,47,CA47,(202) 225-5611,,,
Darrell Issa,R,CA,48,CA48,(202) 225-5672,,,
Mike Levin,D,CA,49,CA49,(202) 225-3906,,,
Scott Peters,D,CA,50,CA50,(202) 225-0508,,,
Sara Jacobs,D,CA,51,CA51,(202) 225-2040,,,
Juan Vargas,D,CA,52,CA52,(202) 225-8045,,,
Diana DeGette,D,CO,01,CO01,(202) 225-4431,,,
Joe Neguse,D,CO,02,CO02,(202) 225-2161,,,
Jeff Hurd,R,CO,03,CO03,(202) 225-4676,Grand Junction/Western Slope,Grand Junction|Western Slope|Durango|Pueblo|Montrose|Glenwood Springs|Steamboat Springs|Aspen|Telluride|Cortez|Delta|Alamosa|Trinidad|Canon City|Salida,Y
Lauren Boebert,R,CO,04,CO04,(202) 225-4761,,,
Jeff Crank,R,CO,05,CO05,(202) 225-4422,,,
Jason Crow,D,CO,06,CO06,(202) 225-7882,,,
Brittany Pettersen,D,CO,07,CO07,(202) 225-2645,,,
Gabe Evans,R,CO,08,CO08,(202) 225-5625,,,
John Larson,D,CT,01,CT01,(202) 225-2265,,,
Joe Courtney,D,CT,02,CT02,(202) 225-2076,,,
Rosa DeLauro,D,CT,03,CT03,(202) 225-3661,,,
James Himes,D,CT,04,CT04,(202) 225-5541,,,
Jahana Hayes,D,CT,05,CT05,(202) 225-4476,,,
Eleanor Norton,D,DC,Delegate,DCDelegate,(202) 225-8050,,,
Sarah McBride,D,DE,00,DE00,(202) 225-4165,,,
Jimmy Patronis,R,FL,01,FL01,(202) 225-4136,,,
Neal Dunn,R,FL,02,FL02,(202) 225-5235,,,
Kat Cammack,R,FL,03,FL03,(202) 225-5744,,,
Aaron Bean,R,FL,04,FL04,(202) 225-0123,Jacksonville,Jacksonville|Nassau County|Fernandina Beach|Amelia Island|Atlantic Beach|Neptune Beach|Jacksonville Beach|Ponte Vedra|Yulee|Callahan|Mandarin|San Marco,Y
John Rutherford,R,FL,05,FL05,(202) 225-2501,,,
Randy Fine,R,FL,06,FL06,(202) 225-2706,,,
Cory Mills,R,FL,07,FL07,(202) 225-4035,,,
Mike Haridopolos,R,FL,08,FL08,(202) 225-3671,Space Coast/Melbourne,Space Coast|Melbourne|Brevard County|Titusville|Palm Bay|Cocoa|Cocoa Beach|Merritt Island|Rockledge|Satellite Beach|Indian Harbour Beach|Viera|Cape Canaveral,Y
Darren Soto,D,FL,09,FL09,(202) 225-9889,,,
Maxwell Frost,D,FL,10,FL10,(202) 225-2176,,,
Daniel Webster,R,FL,11,FL11,(202) 225-1002,,,
Gus Bilirakis,R,FL,12,FL12,(202) 225-5755,,,
Anna Paulina Luna,R,FL,13,FL13,(202) 225-5961,,,
Kathy Castor,D,FL,14,FL14,(202) 225-3376,,,
Laurel Lee,R,FL,15,FL15,(202) 225-5626,Lakeland/East Tampa,Lakeland|Plant City|East Tampa|East Hillsborough|Brandon|Valrico|Riverview|Lithia|Dover|Seffner|Mulberry|Bartow|Auburndale,Y
Vern Buchanan,R,FL,16,FL16,(202) 225-5015,Sarasota/Bradenton,Sarasota|Bradenton|Manatee County|Palmetto|Lakewood Ranch|Longboat Key|Siesta Key|Venice|Englewood|North Port|Osprey|Nokomis,Y
W. Steube,R,FL,17,FL17,(202) 225-5792,,,
Scott Franklin,R,FL,18,FL18,(202) 225-1252,Winter Haven/Sebring,Winter Haven|Sebring|Highlands County|Polk County|Lake Wales|Haines City|Avon Park|Frostproof|Dundee|Eagle Lake|Davenport|Lake Placid,Y
Byron Donalds,R,FL,19,FL19,(202) 225-2536,Naples/Fort Myers,Naples|Fort Myers|Collier County|Cape Coral|Lee County|Bonita Springs|Estero|Marco Island|Lehigh Acres|Sanibel|Fort Myers Beach|Immokalee|Golden Gate,Y
Sheila Cherfilus-McCormick,D,FL,20,FL20,(202) 225-1313,,,
