name,stateAbbr,district,stateDistrict,phone,area,searchTerms
David Schweikert,AZ,06,AZ06,(202) 225-2190,Scottsdale,Scottsdale|Paradise Valley|Fountain Hills|North Phoenix|Cave Creek|Carefree|Rio Verde|Gainey Ranch|McCormick Ranch|Arcadia
Juan Ciscomani,AZ,08,AZ08,(202) 225-2542,Tucson,Tucson|Cochise County|Sierra Vista|Oro Valley|Marana|Vail|Sahuarita|Green Valley|Douglas|Benson|Willcox|Tanque Verde
John Garamendi,CA,08,CA08,(202) 225-1880,Sacramento area,Sacramento|Yolo|Davis|Woodland|Vacaville|West Sacramento|Fairfield|Dixon|Winters|Elk Grove|Natomas|Rancho Cordova
Josh Harder,CA,09,CA09,(202) 225-4540,Stockton/Tracy,Stockton|Tracy|Manteca|Lodi|San Joaquin|Ripon|Escalon|Lathrop|Mountain House|French Camp
Adam Gray,CA,13,CA13,(202) 225-1947,Modesto,Modesto|Turlock|Merced|Stanislaus|Atwater|Livingston|Los Banos|Gustine|Patterson|Newman|Oakdale|Riverbank|Ceres|Hughson
Jimmy Panetta,CA,19,CA19,(202) 225-2861,Monterey/Salinas,Monterey|Salinas|Santa Cruz|Watsonville|Carmel|Pacific Grove|Seaside|Marina|Hollister|Gilroy|Capitola|Aptos|Soquel|Castroville
Jim Costa,CA,21,CA21,(202) 225-3341,Fresno,Fresno|Clovis|Madera|Sanger|Selma|Reedley|Kerman|Fowler|Kingsburg|Parlier|Coalinga|Chowchilla
David Valadao,CA,22,CA22,(202) 225-4695,Bakersfield,Bakersfield|Hanford|Delano|Kern County|Tulare|Visalia|Porterville|Wasco|Shafter|McFarland|Arvin|Lemoore|Corcoran
Raul Ruiz,CA,25,CA25,(202) 225-5330,Palm Springs/Coachella Valley,Palm Springs|Coachella|Indio|Palm Desert|Cathedral City|Riverside County|Rancho Mirage|La Quinta|Desert Hot Springs|Bermuda Dunes|Thousand Palms|Blythe|Beaumont|Banning|Hemet
Young Kim,CA,40,CA40,(202) 225-4111,Orange County,Orange County|Fullerton|Brea|Diamond Bar|Rowland Heights|Yorba Linda|Placentia|La Habra|Walnut|Chino Hills|Hacienda Heights|Buena Park|West Covina|Industry
Jeff Hurd,CO,03,CO03,(202) 225-4676,Grand Junction/Western Slope,Grand Junction|Western Slope|Durango|Pueblo|Montrose|Glenwood Springs|Steamboat Springs|Aspen|Telluride|Cortez|Delta|Alamosa|Trinidad|Canon City|Salida
Aaron Bean,FL,04,FL04,(202) 225-0123,Jacksonville,Jacksonville|Nassau County|Fernandina Beach|Amelia Island|Atlantic Beach|Neptune Beach|Jacksonville Beach|Ponte Vedra|Yulee|Callahan|Mandarin|San Marco
Mike Haridopolos,FL,08,FL08,(202) 225-3671,Space Coast/Melbourne,Space Coast|Melbourne|Brevard County|Titusville|Palm Bay|Cocoa|Cocoa Beach|Merritt Island|Rockledge|Satellite Beach|Indian Harbour Beach|Viera|Cape Canaveral
Laurel Lee,FL,15,FL15,(202) 225-5626,Lakeland/East Tampa,Lakeland|Plant City|East Tampa|East Hillsborough|Brandon|Valrico|Riverview|Lithia|Dover|Seffner|Mulberry|Bartow|Auburndale
Vern Buchanan,FL,16,FL16,(202) 225-5015,Sarasota/Bradenton,Sarasota|Bradenton|Manatee County|Palmetto|Lakewood Ranch|Longboat Key|Siesta Key|Venice|Englewood|North Port|Osprey|Nokomis
Scott Franklin,FL,18,FL18,(202) 225-1252,Winter Haven/Sebring,Winter Haven|Sebring|Highlands County|Polk County|Lake Wales|Haines City|Avon Park|Frostproof|Dundee|Eagle Lake|Davenport|Lake Placid
Byron Donalds,FL,19,FL19,(202) 225-2536,Naples/Fort Myers,Naples|Fort Myers|Collier County|Cape Coral|Lee County|Bonita Springs|Estero|Marco Island|Lehigh Acres|Sanibel|Fort Myers Beach|Immokalee|Golden Gate
Brian Mast,FL,21,FL21,(202) 225-3026,Treasure Coast/Stuart,Treasure Coast|Stuart|Port St. Lucie|Jensen Beach|Martin County|St. Lucie County|Indian River County|Vero Beach|Sebastian|Fort Pierce|Hutchinson Island|Palm City|Hobe Sound
Mario Diaz-Balart,FL,26,FL26,(202) 225-4211,West Miami-Dade,West Miami-Dade|Doral|Sweetwater|Hialeah|Kendall|Miami Lakes|Hialeah Gardens|Medley|Virginia Gardens|Fontainebleau|Westchester|Tamiami|Country Walk
Carlos Gimenez,FL,28,FL28,(202) 225-2778,South Miami-Dade/Keys,South Miami-Dade|Keys|Key West|Homestead|Florida City|Key Largo|Marathon|Islamorada|Cutler Bay|Palmetto Bay|Pinecrest|Coral Gables|Coconut Grove|Key Biscayne
